seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
chr1	2314445	2314581	137	*	PMF_vs_PMC_peak_11	28	.	4.02994	6.9063	2.81148	69	Promoter (<=1kb)	1	2314917	2319268	4352	1	124903824	ENST00000810882.1	-336
chr1	3250255	3250377	123	*	PMF_vs_PMC_peak_12	45	.	3.47106	9.27005	4.56788	77	Intron (ENST00000511072.5/63976, intron 3 of 15)	1	3244132	3386918	142787	1	63976	ENST00000463591.1	6123
chr1	3456842	3456986	145	*	PMF_vs_PMC_peak_13	41	.	4.60177	8.6529	4.11483	50	Promoter (2-3kb)	1	3454665	3481113	26449	1	27237	ENST00000378378.9	2177
chr1	3457196	3457361	166	*	PMF_vs_PMC_peak_14	24	.	3.35862	6.46191	2.485	101	Promoter (2-3kb)	1	3454665	3481113	26449	1	27237	ENST00000378378.9	2531
chr1	3668905	3669029	125	*	PMF_vs_PMC_peak_15	60	.	6.04524	11.2084	6.03028	106	Promoter (<=1kb)	1	3669034	3736201	67168	1	7161	ENST00000713570.1	-5
chr1	3910923	3911044	122	*	PMF_vs_PMC_peak_16	70	.	7.80788	12.5229	7.05824	67	Intron (ENST00000667408.2/100133612, intron 1 of 1)	1	3903706	3905938	2233	1	100133612	ENST00000757281.1	7217
chr1	4265912	4266101	190	*	PMF_vs_PMC_peak_17	94	.	7.81376	15.5329	9.44132	69	Distal Intergenic	1	4412027	4424689	12663	1	284661	ENST00000635002.1	-145926
chr1	6448369	6448541	173	*	PMF_vs_PMC_peak_18	51	.	5.03792	10.0802	5.17693	98	Promoter (<=1kb)	1	6448467	6460052	11586	1	83715	ENST00000475228.6	0
chr1	6701735	6701875	141	*	PMF_vs_PMC_peak_19	63	.	4.31879	11.5922	6.32097	99	Promoter (<=1kb)	1	6634170	6701816	67647	2	55735	ENST00000377577.10	0
chr1	6910015	6910149	135	*	PMF_vs_PMC_peak_20	68	.	4.46279	12.3086	6.88609	39	Intron (ENST00000303635.12/23261, intron 3 of 22)	1	6874056	6887842	13787	1	23261	ENST00000467267.1	35959
chr1	7961537	7961844	308	*	PMF_vs_PMC_peak_21	82	.	6.64785	14.0791	8.28631	89	Promoter (<=1kb)	1	7961663	7971048	9386	1	11315	ENST00000460192.5	0
chr1	10210266	10210487	222	*	PMF_vs_PMC_peak_22	37	.	4.916	8.20535	3.77159	12	Promoter (<=1kb)	1	10210570	10308597	98028	1	23095	ENST00000377093.9	-83
chr1	11012465	11012599	135	*	PMF_vs_PMC_peak_23	47	.	5.09144	9.50219	4.72992	37	Promoter (<=1kb)	1	11012622	11023248	10627	1	23435	ENST00000629725.2	-23
chr1	11681094	11681229	136	*	PMF_vs_PMC_peak_24	45	.	5.54125	9.31879	4.59254	39	Promoter (<=1kb)	1	11672523	11681141	8619	2	10459	ENST00000376664.11	0
chr1	11908171	11908411	241	*	PMF_vs_PMC_peak_25	42	.	2.91538	8.83623	4.23904	76	Promoter (<=1kb)	1	11908152	11908272	121	1	26829	ENST00000362477.2	19
chr1	11909792	11910012	221	*	PMF_vs_PMC_peak_26	28	.	3.14895	6.96909	2.85288	36	Promoter (1-2kb)	1	11908152	11908272	121	1	26829	ENST00000362477.2	1640
chr1	15145477	15145614	138	*	PMF_vs_PMC_peak_27	75	.	6.88523	13.1909	7.57544	94	Intron (ENST00000310916.6/200197, intron 1 of 5)	1	15111869	15152458	40590	2	200197	ENST00000404665.4	6844
chr1	15189889	15190105	217	*	PMF_vs_PMC_peak_28	80	.	4.82278	13.7817	8.03612	53	Intron (ENST00000428417.5/55092, intron 1 of 2)	1	15164191	15171666	7476	2	727684	ENST00000832098.1	-18223
chr1	16352519	16352676	158	*	PMF_vs_PMC_peak_29	51	.	5.73576	10.0133	5.13127	72	Promoter (<=1kb)	1	16352575	16393355	40781	1	26099	ENST00000475078.1	0
chr1	16613388	16613787	400	*	PMF_vs_PMC_peak_30	63	.	3.77914	11.6241	6.35004	106	Promoter (<=1kb)	1	16562319	16613487	51169	2	55672	ENST00000430580.6	0
chr1	16644616	16644809	194	*	PMF_vs_PMC_peak_31	110	.	4.14763	17.5373	11.088	102	Promoter (<=1kb)	1	16625375	16644672	19298	2	124900584	ENST00000635081.1	0
chr1	16905251	16905375	125	*	PMF_vs_PMC_peak_32	25	.	2.87196	6.51537	2.52147	5	Exon (ENST00000703056.2/ENST00000703056.2, exon 1 of 1)	1	16888542	16896642	8101	2	105376805	ENST00000790083.1	-8609
chr1	19312260	19312438	179	*	PMF_vs_PMC_peak_33	56	.	7.14726	10.7349	5.67899	71	Promoter (<=1kb)	1	19312326	19329300	16975	1	54896	ENST00000375153.8	0
chr1	21538318	21538439	122	*	PMF_vs_PMC_peak_34	32	.	4.86926	7.53305	3.27983	21	Intron (ENST00000468526.1/249, intron 1 of 4)	1	21547404	21554002	6599	1	249	ENST00000696766.1	-8965
chr1	23959782	23959975	194	*	PMF_vs_PMC_peak_35	46	.	4.53433	9.46042	4.69562	105	Promoter (<=1kb)	1	23959828	23961880	2053	1	55629	ENST00000374468.1	0
chr1	24190478	24190664	187	*	PMF_vs_PMC_peak_36	36	.	5.38606	8.0244	3.63598	18	Promoter (2-3kb)	1	24159000	24187959	28960	2	163702	ENST00000374419.1	-2519
chr1	26432270	26432431	162	*	PMF_vs_PMC_peak_37	36	.	4.13114	7.99138	3.61379	53	Promoter (<=1kb)	1	26430699	26432296	1598	2	124903883	ENST00000746087.1	0
chr1	26921659	26921854	196	*	PMF_vs_PMC_peak_38	26	.	4.53327	6.6833	2.63519	50	Promoter (<=1kb)	1	26921743	26946871	25129	1	10726	ENST00000321265.10	0
chr1	28236116	28236256	141	*	PMF_vs_PMC_peak_39	45	.	5.16207	9.29145	4.58439	25	Promoter (<=1kb)	1	28236124	28238100	1977	1	93974	ENST00000335514.10	0
chr1	29181956	29182090	135	*	PMF_vs_PMC_peak_40	53	.	5.95264	10.2969	5.32021	35	Promoter (<=1kb)	1	29147743	29181900	34158	2	6429	ENST00000373795.7	-56
chr1	31584156	31584315	160	*	PMF_vs_PMC_peak_41	70	.	7.55589	12.5229	7.05824	69	Promoter (<=1kb)	1	31583513	31587686	4174	1	64129	ENST00000463112.1	643
chr1	32013838	32013959	122	*	PMF_vs_PMC_peak_42	38	.	4.78603	8.35796	3.89686	38	Promoter (<=1kb)	1	32013868	32043877	30010	1	10657	ENST00000327300.12	0
chr1	32817284	32817443	160	*	PMF_vs_PMC_peak_43	77	.	5.41337	13.3869	7.74246	58	Promoter (<=1kb)	1	32817442	32857854	40413	1	64766	ENST00000373476.5	0
chr1	32964738	32964884	147	*	PMF_vs_PMC_peak_44	39	.	4.53393	8.44714	3.93307	79	Promoter (<=1kb)	1	32936449	32964809	28361	2	127544	ENST00000235150.5	0
chr1	33127295	33127416	122	*	PMF_vs_PMC_peak_45	28	.	3.31081	6.99767	2.87001	73	Distal Intergenic	1	33094644	33096956	2313	1	113451	ENST00000492521.1	32651
chr1	34825695	34825818	124	*	PMF_vs_PMC_peak_46	60	.	6.04524	11.2084	6.03028	24	Intron (ENST00000426886.1/105378642, intron 2 of 4)	1	34792999	34795747	2749	1	2701	ENST00000342280.5	32696
chr1	35193010	35193132	123	*	PMF_vs_PMC_peak_47	29	.	3.52661	7.09102	2.93245	120	Promoter (<=1kb)	1	35182936	35193145	10210	2	6421	ENST00000357214.6	13
chr1	35931157	35931289	133	*	PMF_vs_PMC_peak_48	28	.	4.15594	6.9063	2.81148	86	Promoter (<=1kb)	1	35931258	36056462	125205	1	192669	ENST00000246314.10	0
chr1	36088757	36088924	168	*	PMF_vs_PMC_peak_49	77	.	6.77837	13.4423	7.78569	77	Promoter (<=1kb)	1	36088892	36093932	5041	1	54936	ENST00000373178.5	0
chr1	36149492	36149670	179	*	PMF_vs_PMC_peak_50	55	.	5.29472	10.5812	5.54444	69	Promoter (<=1kb)	1	36136570	36149514	12945	2	27095	ENST00000616074.4	0
chr1	38859892	38860086	195	*	PMF_vs_PMC_peak_51	32	.	4.86926	7.53305	3.27983	121	Promoter (<=1kb)	1	38859893	38919529	59637	1	105378662	ENST00000663032.3	0
chr1	38969111	38969341	231	*	PMF_vs_PMC_peak_52	84	.	3.2475	14.2417	8.4186	164	Distal Intergenic	1	38991276	39006059	14784	1	79647	ENST00000432648.8	-21935
chr1	38985778	38985909	132	*	PMF_vs_PMC_peak_53	89	.	4.28313	14.8768	8.93455	69	Distal Intergenic	1	38991276	39006059	14784	1	79647	ENST00000432648.8	-5367
chr1	38986017	38986199	183	*	PMF_vs_PMC_peak_54	37	.	3.34228	8.1817	3.7566	155	Distal Intergenic	1	38991276	39006059	14784	1	79647	ENST00000432648.8	-5077
chr1	42335330	42335455	126	*	PMF_vs_PMC_peak_55	42	.	3.7428	8.87152	4.26207	41	Promoter (<=1kb)	1	42176548	42335235	158688	2	22887	ENST00000361346.6	-95
chr1	45500111	45500247	137	*	PMF_vs_PMC_peak_56	39	.	4.53393	8.44714	3.93307	6	Promoter (<=1kb)	1	45493866	45500079	6214	2	126661	ENST00000626177.2	-32
chr1	45500316	45500458	143	*	PMF_vs_PMC_peak_57	28	.	4.02994	6.9063	2.81148	9	Promoter (<=1kb)	1	45500341	45511065	10725	1	25974	ENST00000616135.1	0
chr1	52055258	52055439	182	*	PMF_vs_PMC_peak_58	33	.	4.40793	7.66459	3.35179	111	Promoter (<=1kb)	1	52033285	52055191	21907	2	51060	ENST00000610127.2	-67
chr1	53838374	53838518	145	*	PMF_vs_PMC_peak_59	76	.	5.70462	13.2754	7.65031	86	Promoter (<=1kb)	1	53818970	53838463	19494	2	55706	ENST00000480952.1	0
chr1	56461391	56461558	168	*	PMF_vs_PMC_peak_60	24	.	3.08595	6.41011	2.44857	48	Intron (ENST00000641494.1/124904185, intron 3 of 5)	1	56248774	56477687	228914	2	124904185	ENST00000641035.1	16129
chr1	60733223	60733349	127	*	PMF_vs_PMC_peak_61	52	.	2.82751	10.1695	5.26046	22	Intron (ENST00000423403.1/101926964, intron 2 of 5)	1	60659631	60825584	165954	2	101926964	ENST00000423403.1	92235
chr1	88684114	88684298	185	*	PMF_vs_PMC_peak_62	63	.	6.00456	11.6447	6.36805	119	Promoter (<=1kb)	1	88684222	88806268	122047	1	5586	ENST00000316005.11	0
chr1	94061595	94061759	165	*	PMF_vs_PMC_peak_63	56	.	6.23347	10.7623	5.69582	78	Promoter (<=1kb)	1	94059469	94061439	1971	2	24	ENST00000472033.1	-156
chr1	95133789	95133993	205	*	PMF_vs_PMC_peak_64	45	.	4.78593	9.25272	4.55531	151	Intron (ENST00000827612.1/ENST00000827612.1, intron 1 of 1)	1	95140672	95150229	9558	1	100527978	ENST00000463375.1	-6679
chr1	95234114	95234273	160	*	PMF_vs_PMC_peak_65	37	.	4.83249	8.11543	3.70546	70	Promoter (<=1kb)	1	95234210	95247225	13016	1	25950	ENST00000370202.5	0
chr1	107681174	107681362	189	*	PMF_vs_PMC_peak_66	58	.	4.17479	10.8899	5.80244	47	Intron (ENST00000370056.9/10451, intron 19 of 26)	1	107572950	107678009	105060	2	10451	ENST00000525460.5	-3165
chr1	109773761	109773899	139	*	PMF_vs_PMC_peak_67	45	.	5.37325	9.31879	4.59254	101	Intron (ENST00000429410.2/124904258, intron 1 of 1)	1	109750081	109764027	13947	2	79574	ENST00000369805.7	-9734
chr1	114511223	114511376	154	*	PMF_vs_PMC_peak_68	77	.	7.56482	13.4277	7.77847	97	Promoter (<=1kb)	1	114392790	114511203	118414	2	51592	ENST00000358465.7	-20
chr1	120069504	120069631	128	*	PMF_vs_PMC_peak_69	52	.	6.5479	10.1966	5.27298	90	Promoter (<=1kb)	1	119950120	120069626	119507	2	4853	ENST00000479412.2	0
chr1	144412599	144412806	208	*	PMF_vs_PMC_peak_70	24	.	2.55811	6.35161	2.41312	42	Promoter (<=1kb)	1	144412576	144412740	165	1	101954267	ENST00000384476.1	23
chr1	145281214	145281343	130	*	PMF_vs_PMC_peak_71	29	.	2.88577	7.09779	2.93492	6	Promoter (<=1kb)	1	145281116	145281462	347	1	101954266	ENST00000618589.1	98
chr1	146035673	146035797	125	*	PMF_vs_PMC_peak_72	41	.	3.58994	8.74288	4.1595	31	Promoter (<=1kb)	1	146017547	146036746	19200	2	148738	ENST00000636675.1	949
chr1	146039386	146039511	126	*	PMF_vs_PMC_peak_73	52	.	4.63513	10.2238	5.27398	52	Promoter (2-3kb)	1	146017547	146036746	19200	2	148738	ENST00000636675.1	-2640
chr1	146387481	146387650	170	*	PMF_vs_PMC_peak_74	49	.	3.34395	9.77814	4.95719	63	Promoter (<=1kb)	1	146387170	146388091	922	1	100996756	ENST00000727871.1	311
chr1	147168805	147168935	131	*	PMF_vs_PMC_peak_75	33	.	4.28194	7.66459	3.35179	14	Intron (ENST00000254101.4/5565, intron 2 of 7)	1	147155106	147172470	17365	2	5565	ENST00000254101.4	3535
chr1	149842571	149842772	202	*	PMF_vs_PMC_peak_76	41	.	3.41506	8.67725	4.12338	139	Promoter (<=1kb)	1	149842218	149842750	533	2	8337	ENST00000369159.3	0
chr1	149851030	149851198	169	*	PMF_vs_PMC_peak_77	32	.	3.02315	7.55824	3.29271	30	Promoter (<=1kb)	1	149851061	149851594	534	1	723790	ENST00000607355.3	0
chr1	149860982	149861214	233	*	PMF_vs_PMC_peak_78	29	.	2.88577	7.09779	2.93492	130	Promoter (<=1kb)	1	149854045	149861138	7094	2	554313	ENST00000621520.1	0
chr1	151254658	151254828	171	*	PMF_vs_PMC_peak_79	52	.	5.70925	10.2513	5.28015	90	Promoter (<=1kb)	1	151254709	151267459	12751	1	5710	ENST00000368881.8	0
chr1	151611920	151612075	156	*	PMF_vs_PMC_peak_80	36	.	4.03034	7.99138	3.61379	71	Promoter (<=1kb)	1	151612006	151693618	81613	1	81609	ENST00000642376.1	0
chr1	151763485	151763672	188	*	PMF_vs_PMC_peak_81	39	.	4.53393	8.44714	3.93307	70	Promoter (<=1kb)	1	151763578	151771332	7755	1	51686	ENST00000479764.7	0
chr1	156130373	156130503	131	*	PMF_vs_PMC_peak_82	41	.	3.35906	8.67725	4.12338	23	Intron (ENST00000502751.5/4000, intron 2 of 3)	1	156126555	156139303	12749	1	4000	ENST00000473598.6	3818
chr1	156225504	156225658	155	*	PMF_vs_PMC_peak_83	113	.	6.4495	17.8356	11.3318	75	3' UTR	1	156213026	156239718	26693	1	11243	ENST00000497069.2	12478
chr1	156282822	156283009	188	*	PMF_vs_PMC_peak_84	34	.	3.77861	7.73977	3.40697	146	Promoter (<=1kb)	1	156249224	156282825	33602	2	23381	ENST00000361813.5	0
chr1	156445847	156446004	158	*	PMF_vs_PMC_peak_85	41	.	5.80692	8.67287	4.12338	119	Intron (ENST00000673141.1/10485, intron 2 of 8)	1	156404253	156456613	52361	2	10485	ENST00000673141.1	10609
chr1	161443137	161443548	412	*	PMF_vs_PMC_peak_86	118	.	6.13057	18.5163	11.8775	207	Intron (ENST00000637155.1/ENST00000637155.1, intron 1 of 4)	1	161505430	161518558	13129	1	2212	ENST00000367972.8	-61882
chr1	161447084	161447329	246	*	PMF_vs_PMC_peak_87	75	.	3.45537	13.1377	7.53986	183	Intron (ENST00000637155.1/ENST00000637155.1, intron 1 of 4)	1	161505430	161518558	13129	1	2212	ENST00000367972.8	-58101
chr1	161450525	161450849	325	*	PMF_vs_PMC_peak_88	68	.	3.87994	12.253	6.84534	172	Intron (ENST00000637155.1/ENST00000637155.1, intron 1 of 4)	1	161505430	161518558	13129	1	2212	ENST00000367972.8	-54581
chr1	161454398	161454900	503	*	PMF_vs_PMC_peak_89	126	.	4.71847	19.4413	12.6217	185	Intron (ENST00000637155.1/ENST00000637155.1, intron 1 of 4)	1	161505430	161518558	13129	1	2212	ENST00000367972.8	-50530
chr1	161455524	161455755	232	*	PMF_vs_PMC_peak_90	58	.	4.24679	10.8899	5.80244	165	Intron (ENST00000637155.1/ENST00000637155.1, intron 1 of 4)	1	161505430	161518558	13129	1	2212	ENST00000367972.8	-49675
chr1	161458085	161458368	284	*	PMF_vs_PMC_peak_91	52	.	4.10279	10.202	5.27298	43	Intron (ENST00000637155.1/ENST00000637155.1, intron 1 of 4)	1	161505430	161518558	13129	1	2212	ENST00000367972.8	-47062
chr1	161461944	161462117	174	*	PMF_vs_PMC_peak_92	71	.	3.52733	12.596	7.11681	75	Intron (ENST00000637155.1/ENST00000637155.1, intron 1 of 4)	1	161505430	161518558	13129	1	2212	ENST00000367972.8	-43313
chr1	161462958	161463113	156	*	PMF_vs_PMC_peak_93	41	.	3.35906	8.67725	4.12338	124	Intron (ENST00000637155.1/ENST00000637155.1, intron 1 of 4)	1	161505430	161518558	13129	1	2212	ENST00000367972.8	-42317
chr1	161465395	161465622	228	*	PMF_vs_PMC_peak_94	60	.	4.03094	11.3145	6.09891	84	Intron (ENST00000637155.1/ENST00000637155.1, intron 1 of 4)	1	161505430	161518558	13129	1	2212	ENST00000367972.8	-39808
chr1	161469204	161469504	301	*	PMF_vs_PMC_peak_95	53	.	3.13138	10.377	5.38629	166	Intron (ENST00000637155.1/ENST00000637155.1, intron 1 of 4)	1	161505430	161518558	13129	1	2212	ENST00000367972.8	-35926
chr1	162235359	162235486	128	*	PMF_vs_PMC_peak_96	32	.	3.33795	7.5446	3.28448	8	Intron (ENST00000361897.10/9722, intron 2 of 9)	1	162167905	162175243	7339	2	105371475	ENST00000671049.1	-60116
chr1	163321730	163321867	138	*	PMF_vs_PMC_peak_97	32	.	3.07355	7.55824	3.29271	67	Promoter (<=1kb)	1	163248275	163321792	73518	2	127814295	ENST00000449680.5	0
chr1	167715520	167715644	125	*	PMF_vs_PMC_peak_98	45	.	3.25231	9.2175	4.54057	53	Distal Intergenic	1	167721950	167765896	43947	1	9019	ENST00000464954.1	-6306
chr1	200891867	200891990	124	*	PMF_vs_PMC_peak_99	60	.	5.10702	11.2588	6.06062	43	Promoter (<=1kb)	1	200891341	200915735	24395	1	55765	ENST00000367342.8	526
chr1	205591940	205592097	158	*	PMF_vs_PMC_peak_100	73	.	6.94265	12.8518	7.30965	74	Promoter (<=1kb)	1	205592037	205600550	8514	1	148808	ENST00000465651.1	0
chr1	208102157	208102295	139	*	PMF_vs_PMC_peak_101	26	.	4.36527	6.6833	2.63519	98	Intron (ENST00000367033.4/5362, intron 5 of 31)	1	208038907	208040264	1358	2	5362	ENST00000463510.1	-61893
chr1	211667285	211667485	201	*	PMF_vs_PMC_peak_102	82	.	3.93957	14.0129	8.23081	51	Promoter (2-3kb)	1	211663525	211669519	5995	2	4751	ENST00000489633.1	2034
chr1	213015626	213015823	198	*	PMF_vs_PMC_peak_103	25	.	3.62715	6.60524	2.5805	192	Promoter (<=1kb)	1	212992182	213015826	23645	2	90806	ENST00000360506.6	3
chr1	218367240	218367399	160	*	PMF_vs_PMC_peak_104	50	.	3.63905	9.87633	5.02138	64	Intron (ENST00000366930.9/7042, intron 1 of 6)	1	218344195	218347866	3672	2	728463	ENST00000774588.1	-19374
chr1	226121656	226121807	152	*	PMF_vs_PMC_peak_105	26	.	4.53327	6.6833	2.63519	73	Distal Intergenic	1	226133245	226155071	21827	1	107985353	ENST00000440540.2	-11438
chr1	228109128	228109331	204	*	PMF_vs_PMC_peak_106	49	.	4.1986	9.79599	4.96016	156	Promoter (<=1kb)	1	228106679	228109280	2602	2	128308	ENST00000366744.5	0
chr1	228619186	228619411	226	*	PMF_vs_PMC_peak_107	80	.	4.25504	13.7765	8.03612	145	Promoter (<=1kb)	1	228619232	228619350	119	2	100169756	ENST00000362526.1	0
chr1	228628079	228628241	163	*	PMF_vs_PMC_peak_108	45	.	3.52706	9.27005	4.56788	143	Promoter (<=1kb)	1	228628148	228628266	119	2	100169760	ENST00000364451.1	25
chr1	228630412	228630559	148	*	PMF_vs_PMC_peak_109	58	.	3.67834	11.0065	5.86698	63	Promoter (<=1kb)	1	228630390	228630508	119	2	100169761	ENST00000363040.1	0
chr1	228632657	228632788	132	*	PMF_vs_PMC_peak_110	71	.	4.34593	12.6807	7.17312	36	Promoter (<=1kb)	1	228632631	228632749	119	2	100169762	ENST00000362464.1	0
chr1	228641593	228641715	123	*	PMF_vs_PMC_peak_111	54	.	3.75105	10.4957	5.48212	60	Promoter (<=1kb)	1	228641568	228641686	119	2	100169766	ENST00000365055.1	0
chr1	234721504	234721634	131	*	PMF_vs_PMC_peak_112	54	.	3.57754	10.4007	5.40619	24	Promoter (2-3kb)	1	234724042	234731643	7602	1	100506810	ENST00000437601.2	-2408
chr1	235946077	235946240	164	*	PMF_vs_PMC_peak_113	54	.	4.3666	10.5157	5.48842	90	Promoter (2-3kb)	1	235948968	235956403	7436	1	105373215	ENST00000786962.1	-2728
chr1	245258386	245258563	178	*	PMF_vs_PMC_peak_114	34	.	3.69461	7.73977	3.40697	63	Intron (ENST00000407071.7/55083, intron 2 of 14)	1	245206444	245234501	28058	2	111216275	ENST00000446321.1	-23885
chr1	246931787	246931917	131	*	PMF_vs_PMC_peak_115	25	.	3.72794	6.60524	2.5805	115	Promoter (<=1kb)	1	246839098	246931948	92851	2	25909	ENST00000648844.2	31
chr1	248873767	248873896	130	*	PMF_vs_PMC_peak_116	25	.	2.55539	6.48095	2.50136	102	Distal Intergenic	1	248859207	248864818	5612	1	122152365	ENST00000816677.1	14560
chr10	15168447	15168587	141	*	PMF_vs_PMC_peak_117	64	.	7.07944	11.7548	6.46793	76	Promoter (<=1kb)	10	15108294	15168628	60335	2	9397	ENST00000378150.1	41
chr10	17668518	17668659	142	*	PMF_vs_PMC_peak_118	41	.	5.20142	8.74866	4.16107	62	Intron (ENST00000377524.8/8027, intron 2 of 13)	10	17684785	17688157	3373	1	8027	ENST00000486183.1	-16126
chr10	30002523	30002657	135	*	PMF_vs_PMC_peak_119	48	.	6.48227	9.70804	4.89913	85	Promoter (1-2kb)	10	29991111	30001202	10092	2	107984218	ENST00000693172.3	-1321
chr10	32105995	32106130	136	*	PMF_vs_PMC_peak_120	52	.	4.03079	10.202	5.27298	100	Distal Intergenic	10	32009015	32056425	47411	2	3799	ENST00000302418.5	-49570
chr10	35635631	35635761	131	*	PMF_vs_PMC_peak_121	60	.	7.65033	11.2167	6.03484	48	Distal Intergenic	10	35641097	35647828	6732	1	105376494	ENST00000668682.2	-5336
chr10	44978788	44978990	203	*	PMF_vs_PMC_peak_122	52	.	4.03079	10.202	5.27298	83	Promoter (<=1kb)	10	44970981	44978790	7810	2	11067	ENST00000496638.1	0
chr10	52452792	52452946	155	*	PMF_vs_PMC_peak_123	92	.	5.11078	15.306	9.2483	79	Promoter (<=1kb)	10	52452049	52580548	128500	1	124902426	ENST00000736443.1	743
chr10	61063085	61063250	166	*	PMF_vs_PMC_peak_124	30	.	2.77129	7.18288	3.00724	140	Intron (ENST00000756399.1/ENST00000756399.1, intron 1 of 4)	10	61062800	61067983	5184	2	124902434	ENST00000756725.1	4733
chr10	61065120	61065277	158	*	PMF_vs_PMC_peak_125	71	.	4.28293	12.6807	7.17312	100	Promoter (2-3kb)	10	61062800	61067983	5184	2	124902434	ENST00000756725.1	2706
chr10	61067074	61067199	126	*	PMF_vs_PMC_peak_126	39	.	2.01577	8.39848	3.91993	94	Promoter (<=1kb)	10	61062800	61067983	5184	2	124902434	ENST00000756725.1	784
chr10	70595649	70595796	148	*	PMF_vs_PMC_peak_127	56	.	5.56503	10.7282	5.6725	72	Intron (ENST00000697577.1/27143, intron 19 of 20)	10	70597348	70602687	5340	2	5551	ENST00000638674.1	6891
chr10	72273884	72274073	190	*	PMF_vs_PMC_peak_128	95	.	5.87248	15.6279	9.51645	60	Promoter (<=1kb)	10	72273919	72275998	2080	1	54541	ENST00000491934.3	0
chr10	73811722	73811887	166	*	PMF_vs_PMC_peak_129	45	.	5.37325	9.31879	4.59254	78	Promoter (<=1kb)	10	73810684	73811798	1115	2	8509	ENST00000398701.2	0
chr10	75210613	75210776	164	*	PMF_vs_PMC_peak_130	71	.	5.91991	12.6839	7.17312	104	Promoter (<=1kb)	10	75210645	75220970	10326	1	7417	ENST00000344036.8	0
chr10	79157624	79157779	156	*	PMF_vs_PMC_peak_131	33	.	2.97741	7.60861	3.31853	95	Intron (ENST00000334512.10/57178, intron 3 of 24)	10	79243669	79291085	47417	1	57178	ENST00000472035.5	-85890
chr10	86377376	86377509	134	*	PMF_vs_PMC_peak_132	61	.	7.05189	11.3449	6.11697	36	Distal Intergenic	10	85599552	86366795	767244	2	2894	ENST00000327946.12	-10581
chr10	86521723	86521869	147	*	PMF_vs_PMC_peak_133	45	.	5.31396	9.29145	4.58439	54	Promoter (<=1kb)	10	86435256	86521792	86537	2	23063	ENST00000298767.10	0
chr10	95430510	95430653	144	*	PMF_vs_PMC_peak_134	78	.	7.94222	13.5824	7.88615	49	Promoter (1-2kb)	10	95311820	95432566	120747	2	10580	ENST00000647619.2	1913
chr10	95694100	95694241	142	*	PMF_vs_PMC_peak_135	50	.	5.69603	9.86704	5.01664	47	Promoter (<=1kb)	10	95663401	95694143	30743	2	26123	ENST00000265993.13	0
chr10	96765751	96765876	126	*	PMF_vs_PMC_peak_136	52	.	6.5479	10.1966	5.27298	82	Distal Intergenic	10	96750288	96750899	612	1	728658	ENST00000439189.1	15463
chr10	97319004	97319162	159	*	PMF_vs_PMC_peak_137	60	.	7.25816	11.2738	6.06861	65	Promoter (<=1kb)	10	97319271	97321915	2645	1	10023	ENST00000371021.5	-109
chr10	97319277	97319461	185	*	PMF_vs_PMC_peak_138	20	.	4.02927	5.86499	2.05075	3	Promoter (<=1kb)	10	97319271	97321915	2645	1	10023	ENST00000371021.5	6
